APP_ID	WDID	REPORT_ID	REPORT_YEAR	REGION	QUESTION_1_ANSWER	QUESTION_1_EXPLANATION	QUESTION_2_ANSWER	QUESTION_2_EXPLANATION	QUESTION_3_ANSWER	QUESTION_3_EXPLANATION	QUESTION_4_ANSWER	QUESTION_5_ANSWER	QUESTION_6_ANSWER	QUESTION_6_1_ANSWER	QUESTION_8_ANSWER	QUESTION_8_DATE	QUESTION_9_ANSWER	QUESTION_9_EXPLANATION	QUESTION_10_ANSWER	QUESTION_10_EXPLANATION	QUESTION_11_ANSWER	QUESTION_11_DATE	QUESTION_11_EXPLANATION	QUESTION_12_ANSWER	QUESTION_12_EXPLANATION	CERTIFIER_NAME	CERTIFIED_DATE	QUESTION_13_ANSWER	QUESTION_14_ANSWER	QUESTION_14_EXPLANATION	QUESTION_TMDL_ANSWER
178377	1 23I001437	844613	2015	1	Y		Y		Y		1	N	N		Y		Y		N		Y	04/08/2016		Y		Phillip Shuster	20-JUN-16 08.15.42.284000 AM	 	 		 
178377	1 23I001437	879600	2016	1	Y		Y		Y		1	N	N	N	Y		Y		N		Y	04/18/2017		Y		Phillip Shuster	15-JUN-17 11.42.52.016000 AM	 	 		 
178377	1 23I001437	940280	2017	1	Y		Y		Y		1	N	N	Y	Y		Y		N		Y	03/29/2018		Y		Phillip Shuster	25-JUN-18 08.32.57.019000 AM	 	 		 
178377	1 23I001437	954862	2018	1	Y		Y		Y		1	N	N	Y	Y		Y		N		Y	04/18/2019		Y		Phillip Shuster	18-JUN-19 04.36.01.947000 PM	 	 		 
178377	1 23I001437	987260	2019	1	Y		N	There have been no qualifying storm events during the 2019-2020 reporting year that produced a discharge from the property during operating hours. Storms that did occur were on weekends or during the night when the facility was closed.	N	There have been no qualifying storm events during the 2019-2020 reporting year that produced a discharge from the property during operating hours. Storms that did occur were on weekends or during the night when the facility was closed.	1	N	N	Y	Y		N	There have been no qualifying storm events during the 2019-2020 reporting year that produced a discharge from the property during operating hours. Storms that did occur were on weekends or during the night when the facility was closed.	N		Y	04/10/2020		Y		Phillip Shuster	19-JUN-20 04.26.57.247000 PM	 	 		 
178377	1 23I001437	1069908	2020	1	Y		Y		Y		1	N	N	Y	Y		Y		N		Y	05/14/2021		Y		Phillip Shuster	23-JUN-21 02.56.38.036000 PM	 	 		 
178377	1 23I001437	1113845	2021	1	Y		Y		Y	The facility is a current member of the California Trucking Association Compliance Group and has a current Sampling Frequency Reduction Certification. This facility is required to collect industrial discharge samples from one (1) Qualifying Storm Event per reporting year.	1	N	N	Y	Y		Y		N		Y	05/15/2022		Y		Phillip Shuster	15-JUN-22 10.42.03.314000 AM	 	 		 
178377	1 23I001437	1190370	2022	1	Y		Y		Y	The facility is a current member of the California Trucking Association Compliance Group and has a current Sampling Frequency Reduction Certification. The facility is required to collect industrial discharge samples from one (1) Qualifying Storm Event per reporting year. A sample was collected in May 2023.	1	N	N	Y	Y		Y		N		Y	04/21/2023		Y		Phillip Shuster	23-JUN-23 11.32.10.400000 AM	 	 		 
178377	1 23I001437	1244322	2023	1	Y		N	No qualifying event	N	No qualifying event	1	N	N	Y	Y		N	None collected	N		Y	10/23/2023		Y		Phillip Shuster	19-MAR-25 11.56.12.938000 AM	 	 		 
178379	1 23I002098	1295787	2024	1	Y		Y		Y		2	Y	N	Y	Y		Y		N		Y	03/25/2025		Y		Jennifer  Trigos	03-JUL-25 08.36.24.417000 AM	 	 		 
178379	1 23I002098	841059	2015	1	Y		Y		Y		2	N	N		Y		Y		N		Y	05/12/2016		Y		rosemary turner	30-JUN-16 07.44.28.244000 AM	 	 		 
178379	1 23I002098	880492	2016	1	Y		Y		Y		2	N	N	N	Y		Y		N		Y	05/02/2017		Y	Monitoring records are available on site in hard copy and electronically.	George McGee	30-JUN-17 03.31.04.518000 PM	 	 		 
178379	1 23I002098	941122	2017	1	Y		Y		N	No samples were collected during the July � December period due to a combination of lack of qualified storm events and a change in the storm water sample collection vendor for the company. The storm water sample collection vendor contract was not finalized until late in the monitoring period and qualified storm events may have been missed.  	2	Y	N	N	Y		Y		N		Y	04/16/2018		Y		CARLOS MEDINA	12-JUL-18 03.57.39.689000 PM	 	 		 
178379	1 23I002098	955699	2018	1	Y		Y		Y		2	Y	N	N	Y		Y		N		Y	03/06/2019		Y		CARLOS MEDINA	11-JUL-19 06.49.33.297000 PM	 	 		 
178379	1 23I002098	988070	2019	1	Y		Y		Y		2	Y	N	N	Y		Y		N		Y	01/21/2020		Y		CARLOS MEDINA	15-JUL-20 05.31.15.010000 PM	 	 		 
178379	1 23I002098	1070660	2020	1	Y		Y		Y		2	Y	N	Y	Y		Y		N		Y	03/29/2021		Y		Matthew Ballard	12-JUL-21 09.47.38.228000 PM	 	 		 
178379	1 23I002098	1114565	2021	1	Y		Y		Y		2	Y	N	Y	Y		Y		N		Y	04/27/2022		Y		Jennifer  Trigos	12-JUL-22 04.27.16.673000 PM	 	 		 
178379	1 23I002098	1191037	2022	1	Y		Y		Y		2	Y	N	Y	Y		Y		N		Y	03/02/2023		Y		Genevieve Brown	10-JUL-23 12.06.19.302000 PM	 	 		 
178379	1 23I002098	1244953	2023	1	Y		Y		Y		2	Y	N	Y	Y		Y		N		Y	02/13/2024		Y		Jennifer  Trigos	08-JUL-24 04.53.33.012000 PM	 	 		 
178381	1 23I003698	840589	2015	1	Y		Y		N	New IGP requirements were unclear to the Discharger	6	N	N	N	Y		Y		N		N		Site owner was between consultants and did not understand new IGP requirements	Y		Andrea  Trincado	16-JUL-18 09.55.08.179000 AM	 	 		 
178381	1 23I003698	910874	2016	1	N	Discharger was between consultants. Monthly Visual Observations began in January 2017. 	N	Discharger unclear of visual observation requirements during sampling events while between consultants. Sampling event visual observations were completed  for the 2 QSEs sampled between January and June. 	N	Discharger was unclear of sampling requirements while between consultants; only one QSE was sampled between July and December. Two QSEs were sampled between January and June. 	6	N	N	N	Y		Y		N		Y	06/06/2017		Y		Adrienne Moore	25-JUL-17 03.33.21.221000 PM	 	 		 
178381	1 23I003698	937939	2017	1	Y		Y		N	There was only 1 Qualifying Storm Events between July 1, 2017 and December 31, 2017.	6	N	N	N	Y		Y		N		Y	07/13/2018		N	There is no building or storage unit to store on-site records. Records are maintained at the LRP's location of business (The City of Willits)	Andrea  Trincado	16-JUL-18 11.57.25.272000 AM	 	 		 
178381	1 23I003698	952525	2018	1	Y		Y		N	EBA Engineering was not in contract until the end of the first half of the reporting year. EBA was able to collect a stormwater sample on November 27, 2018 but was not able to collect a second sample before December 31, 2018. There were several Qualifying Storm Events that occurred between those dates, but they fell outside of normal operating business hours. As such, they were not sampled.	6	N	N	N	Y		Y		N		Y	06/05/2019		Y		Andrea  Trincado	11-JUN-19 07.29.14.558000 AM	 	 		 
178382	1 23I003973	847359	2015	1	Y		Y		Y		1	N	N		N	09/30/2016	Y		N		Y	06/28/2016		Y		Stephen Shamblin	12-JUL-16 09.09.06.480000 AM	 	 		 
178382	1 23I003973	879655	2016	1	Y		Y		Y		1	N	N	N	Y		Y		N		Y	06/02/2017		Y		Stephen Shamblin	02-JUN-17 01.54.11.816000 PM	 	 		 
178382	1 23I003973	940332	2017	1	Y		Y		Y		1	N	N	N	Y		Y		N		Y	07/02/2018		Y		Stephen Shamblin	12-JUL-18 04.55.57.950000 AM	 	 		 
178382	1 23I003973	954914	2018	1	Y		Y		Y		1	N	N	N	Y		Y		N		Y	06/13/2019		Y		Stephen Shamblin	14-JUN-19 05.45.24.566000 PM	 	 		 
178382	1 23I003973	987307	2019	1	Y		Y		Y		1	N	N	N	Y		Y		N		Y	06/11/2020		Y		Stephen Shamblin	07-JUL-20 08.40.13.011000 AM	 	 		 
178382	1 23I003973	1069954	2020	1	Y		Y		Y		1	N	N	N	Y		Y		N		Y	02/24/2021		Y		Stephen Shamblin	22-JUN-21 03.48.28.942000 PM	 	 		 
178382	1 23I003973	1113888	2021	1	Y		Y		N	Due to a dry storm water period and possible discharge during non-operating hours, 2 QSE's taken between July 01, 2021-December 31 2021 and 1 QSE sample were taken between January 1, 2022 and June 30, 2022	1	N	N	N	Y		Y		N		Y	03/08/2022		Y		Stephen Shamblin	06-JUL-22 06.29.31.422000 AM	 	 		 
178382	1 23I003973	1190408	2022	1	N	The facility closed June 2022 and no personnel onsite to perform monthly visual inspection	N	No sampling events occurred when personnel were present. 	N	No sampling events occurred when personnel were present. 	1	N	N	N	Y		N	No discharge events occurred when personnel present. 	N		Y	02/10/2023		Y		Stephen Shamblin	14-FEB-23 03.44.18.780000 PM	 	 		 
178383	1 23I004224	841152	2015	1	Y		N	No samples taken	N	Lack of qualifying events	4	N	N		N	09/30/2016	N	no samples taken	N		N		 Lack of staff time, currently underway	Y		Gene Pietila	17-AUG-16 08.05.01.316000 AM	 	 		 
178383	1 23I004224	910876	2016	1	Y		Y		Y		4	N	N	N	Y		Y		N		Y	06/23/2017		Y		Gene Pietila	26-JUL-17 03.01.45.327000 PM	 	 		 
178383	1 23I004224	937940	2017	1	Y		Y		Y		4	N	N	N	N	09/30/2018	Y		N		Y	06/08/2018		Y		Gene Pietila	09-JUL-18 09.54.44.066000 AM	 	 		 
178384	1 23I004391	841915	2015	1	Y		Y		N	� Fort Bragg Disposal was unable to obtain (4) qualifying samples during the 2015-2016 season. Two qualifying samples were reported along with one non-qualifying event (sampled ~5 hours after start of discharge). Additional staff have been trained for 2016-2017 season to ensure all qualifying events will be collected.  	1	N	N		N	09/30/2016	N	One sample was obtained 5 hours after discharge began. Additional staff have been trained for 2016-2017 season to ensure all qualifying events will be collected.  	N		Y	06/28/2016		Y		Stephen Shamblin	12-JUL-16 09.22.03.310000 AM	 	 		 
178384	1 23I004391	879656	2016	1	Y		Y		Y		1	N	N	N	Y		Y		N		Y	06/01/2017		Y		Stephen Shamblin	01-JUN-17 03.10.17.957000 PM	 	 		 
178384	1 23I004391	940333	2017	1	Y		Y		Y		1	N	N	N	Y		Y		N		Y	07/02/2018		Y		Stephen Shamblin	12-JUL-18 04.55.57.950000 AM	 	 		 
178384	1 23I004391	954915	2018	1	Y		Y		Y		1	N	N	N	Y		Y		N		Y	06/14/2019		Y		Stephen Shamblin	11-JUL-19 01.49.37.522000 PM	N	N	Site met all parameters within drainage area, no update needed.	 
178384	1 23I004391	987308	2019	1	Y		Y		Y		1	N	N	N	Y		Y		N		Y	06/12/2020		Y		Stephen Shamblin	07-JUL-20 08.40.13.011000 AM	 	 		 
178384	1 23I004391	1069955	2020	1	Y		Y		Y		1	N	N	N	Y		Y		N		Y	02/23/2021		Y		Stephen Shamblin	22-JUN-21 03.48.28.942000 PM	 	 		 
178384	1 23I004391	1113889	2021	1	Y		Y		N	Due to a dry storm water period and possible discharge during non-operating hours, 2 QSE's taken between July 01, 2021-December 31 2021 and 0 QSE sample  were taken between January 1, 2022 and June 30, 2022	1	N	N	N	Y		Y		N		Y	03/07/2022		Y		Stephen Shamblin	06-JUL-22 06.29.31.422000 AM	 	 		 
178384	1 23I004391	1190409	2022	1	Y	The facility has been closed since June 2022 and personnel not present to perform monthly inspections past Dec 2022	N	No sampling events occurred when personnel onsite. 	N	No sampling events occurred when personnel onsite. 	1	N	N	N	Y		N	No samples obtained	N		Y	02/10/2023		Y		Stephen Shamblin	14-FEB-23 03.44.18.780000 PM	 	 		 
